,filename,text,start,end
0,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00000.wav,สวัสดีครับ,0:01:18,0:01:21
1,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00001.wav,เอ่อในนามบริษัท โนเบิล ดีเวลลอปเมนท์ ขอขอบคุณ,0:01:21,0:01:23
2,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00002.wav,ทุกท่านที่ให้ความสนใจนะครับวันนี้ก็มาเจอ,0:01:23,0:01:25
3,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00003.wav,กันอีกครั้ง หนึ่ง ใน quarter ที่ 3 นะครับเป็นการ,0:01:25,0:01:28
4,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00004.wav,รายงานผลประกอบการประจำไตรมาสที่ 3 ของ,0:01:29,0:01:32
5,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00005.wav,ปีนี้เออก่อนอื่นก็ขอบอกก่อนว่า,0:01:32,0:01:34
6,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00006.wav,ไตรมาสนี้เป็นไตรมาสที่มีผลประกอบการ,0:01:34,0:01:37
7,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00007.wav,ที่ดีมากๆ นะครับสำหรับบริษัทเรา,0:01:37,0:01:39
8,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00008.wav,มีการปิด Transaction ใหญ่นะครับที่เรามีการ,0:01:40,0:01:43
9,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00009.wav,ขายโครงการ เอ่อ คูคต นิว คอร์ คูคต,0:01:43,0:01:45
10,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00010.wav,กับ นิวพระราม 9 อานาย Eclectic,0:01:45,0:01:48
11,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00011.wav,อานาย อันนั้นเป็นโครงการที่เรา,0:01:48,0:01:50
12,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00012.wav,ประสบความสำเร็จเป็นอย่างยิ่งในการดำเนินการ,0:01:50,0:01:52
13,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00013.wav,แล้วก็มีพันธมิตรของเราเนี่ยมารับซื้อ,0:01:52,0:01:55
