text,start,end
" Okay, good afternoon. Thanks for all of your shareholders",19.626,23.269000000000002
 coming to CCBT Opportunities Day.,23.269000000000002,25.626
" As you understand, we are going",25.866,29.274
 a new share issue.,29.61,31.098
 That's why we want to take this,31.146,33.618
 opportunity to introduce,33.618,36.09
 explain,36.234,37.146
 uh what,37.386,38.394
 kind of um,38.826,39.93
" expansion, we will be",40.842,43.193999999999996
 doing with new share coming in.,43.193999999999996,45.882
" So,",46.026,47.418
 Can we go to the next page?,47.85,49.338
" Okay, good afternoon and tomorrow",123.402,126.138
" First of all, I would like to take this opportunity",126.666,130.65
 give you a brief instruction about our,130.794,134.106
 Company overviews.,134.442,136.026
 Uh...,136.65,137.562
 established in,141.546,142.938
 Our business is global,145.29,148.0
 EMSOD manufacturing.,148.0,151.098
 service.,151.146,152.058
" They are 20,000 for a country",156.33,159.084
" 70,000 for a country.",159.084,161.562
 improve,163.146,164.058
 sitting pilot.,164.106,165.21
 and in globally,165.642,167.61
 46,169.098,170.202
" 1,759 employees.",170.538,173.85
" Currently, our capital",174.57,175.962
 Petting Capital,176.106,177.306
 5.85 BDN,179.37,181.434
 Out of standard issue,182.922,184.698
 Totally 4.79 billion shares.,186.666,189.882
 Totally 1.06.,192.042,194.682
 BDN TDR Shares.,194.73,196.506
 including storage devices.,198.762,201.69
 cost machines.,207.69,208.986
 Set up devices.,209.226,210.906
 from wireless security system.,212.682,215.802
 manufacturing location including Thailand,221.418,224.338
", China, Singapore, Malaysia,",224.338,227.034
" The Philippines, USA, Mexico and Brazil.",227.37,230.682
 Three factories worldwide.,232.746,234.714
 our,237.834,238.65
 The revenue last year,238.794,240.57
 achieve 4.9,240.618,242.47299999999998
 billion US dollars.,242.47299999999998,244.69799999999998
 our worldwide faculties.,245.514,247.386
 Totally 33 factories.,247.626,250.074
 and employs a total of 40 employees.,250.602,253.53
 2007,255.018,256.698
 159 employees.,257.226,259.674
 our total length area,260.01,261.69
 Totally 2.1 million,261.738,264.762
 square meters.,265.194,266.298
 and factory of low air value.,266.73,269.562
 1.4 median square meters.,271.626,275.418
 EMS JDN and ODIN in Southeast Asia.,280.554,284.058
 Well...,286.122,286.938
" We have factories in Thailand, Philippines",286.986,290.15999999999997
 and Malaysia of Southeast Asia.,290.15999999999997,292.602
 especially in factories in Thailand which has,293.034,296.73
 was established for over 33 years.,297.738,301.434
 And currently has plans for further,301.962,304.68899999999996
 expansion in Thailand.,304.68899999999996,306.80999999999995
 due to worldwide,307.242,309.306
 Chana plus what?,311.85,313.242
" So, currently many of",313.866,316.314
" branding customer move,",317.418,321.306
 manufacturing front,321.93,324.858
" So, uh...",329.514,330.714
 We have a,331.626,333.594
" Operation in Thailand, Philippines,",334.314,336.666
 Malaysia of Southeast Asia.,336.714,338.97
 about one million,343.05,344.73
 square meters.,344.778,346.17
 and our factories floor area.,346.506,348.954
 Salsun,353.418,354.234
 seven country fight,355.818,357.69
 square meters.,357.738,358.938
 our total employees in Taitung.,359.37,361.53
" 1,477",364.074,366.714
 employees.,367.146,368.058
 There are 16 factories in Thailand.,368.298,371.802
 Our Philippine,372.522,373.626
 uh...,373.866,374.778
 operation,375.018,376.314
 southern seven,383.37,384.762
" You know, seven",386.154,387.162
 square meters.,387.594,388.794
 our flow,389.226,390.042
" Our factory is fully air-reared,",390.186,393.21
 Two hungry little foals,393.834,395.514
 sources 797,395.658,399.258
 square meters.,399.786,400.89
" In the Philippines, our employees are totally",401.322,405.018
 You come and burn your body,405.642,406.842
 employees.,410.538,411.546
 Lay out the tory.,413.034,415.002
 seven factories in our Philippine side.,415.05,417.882
" 9,583",422.442,424.19100000000003
 square meters.,424.19100000000003,426.52200000000005
" and our floor area, we're totally fine.",426.858,429.882
" 5,000",429.93,431.61
 864 square meters.,432.234,435.354
 132 employees in our Malaysia site.,439.338,443.322
 We have only one factory in Malaysia.,443.37,445.914
 Our plot cuts about the store,448.938,451.386
 We have a PC board assembly for heartless driver.,456.042,459.546
 external heart disease and NAS.,459.978,462.33
 server PC bow,462.762,464.634
 PC4,464.682,465.498
 assembly and finished goods assembly.,465.738,468.474
 SSD,468.906,470.01
 and memory card and pen driver,470.154,473.082
 non-store average products including,473.706,477.69
 EV charging.,477.738,478.842
" smart, winnable device.",480.234,482.298
 Smart pause.,485.514,486.426
 Solar Power Module.,487.146,488.922
 IoT devices and sensors and IP cameras.,489.354,493.146
 inject martin function printer,499.05,501.594
 a printer.,506.058,507.066
 about communication radio.,507.594,510.234
 and HD PV are set of bars.,512.586,515.034
 OEN DBBT3VR Central Bus,515.37,519.354
 OTN.,519.69,521.082
 OPN,524.298,525.402
 fight AP and,528.522,530.106
" So,",535.914,537.306
 I would like to follow show you about,537.642,540.474
 six minutes.,545.418,546.522
 Video clip.,546.858,548.442
 Let me introduce,929.898,932.346
 It's a negative summary.,932.682,934.362
 about operational,935.178,937.729
 highlight and business overview,937.729,941.008
 for first half of 2023.,941.008,943.1940000000001
 Electronica Plata worldwide,944.202,946.65
 impeded by global inventory issue,947.658,950.849
 and global economic situation during,950.849,954.33
" The first half year of 2023,",954.762,958.266
" Therefore, sales limit impresses society.",958.89,962.394
 Reduce by 4.45,962.826,965.562
 for the first half year of 2023.,967.05,970.65
" But at same time, the company has been through some",971.178,974.874
 cost of improvement and the,977.706,980.13
 treatment of their treatment of their,980.13,982.554
 as well as continuous enhanced,982.698,986.01
" Therefore,",989.802,990.618
 The over-the-roll net profit has increased by,990.762,994.65
 77.79%,994.89,998.586
 as compared into,999.018,1001.078
" the previous year, 2022.",1001.078,1003.482
 And you are a head.,1004.394,1005.786
" Also, global ndualism",1006.026,1008.064
", market trend is yet to be",1008.064,1010.394
 fully recovered.,1011.018,1012.314
 The company has few more new products.,1013.034,1015.77
 Implementation.,1016.202,1017.69
" The company, Shoe Steel, has",1021.674,1024.026
 has a positive,1024.458,1026.042
 be used for overall performance in,1026.378,1028.826
 year 2023.,1029.162,1031.13
 So you can see things,1031.754,1033.242
 Powered by Mayday.,1035.402,1036.506
 literally increased,1036.65,1038.426
 We can't book.,1040.298,1041.114
 a few more new,1043.85,1045.626
 customer and a new product plus.,1045.674,1047.93
 Lensing program for a company's business intention,1055.562,1059.258
 The company has resolved the fund-raising.,1061.898,1064.826
 insurance and allocation,1067.082,1069.7250000000001
 of new issued alternative share,1069.7250000000001,1072.698
" companies, shareholders,",1073.034,1075.002
 and show proposes for a shareholders meeting,1075.05,1078.554
 Prince,1080.234,1081.434
 The rest amount should be many,1081.962,1084.242
 to support the factory.,1084.242,1086.522
 especially plants in Thailand inconsiderated,1087.05,1090.447
 currently.,1090.447,1091.418
 Factory.,1092.042,1092.858
 Capacity are reaching,1092.906,1094.778
 The company should have an initial plan,1098.762,1102.266
 Another full factory.,1102.314,1103.898
 facilities.,1104.33,1105.434
 with a processing battery.,1105.482,1107.546
 3-year investment model.,1107.594,1109.37
 budget planter.,1110.09,1111.194
 of 170 A,1111.242,1114.074
 median US dollar in order support,1114.314,1117.068
 business in the near future.,1117.068,1119.546
 Subversive content,1120.842,1122.138
 with the capital injection.,1122.57,1124.442
 The capital.,1124.49,1125.402
 The company will also be,1125.546,1127.514
" Apple, who enhance the financial structure of the company.",1127.946,1131.642
 a product,1135.914,1136.826
 14 million US dollars.,1137.162,1139.61
" financial cost, the value is in seeking to the",1139.754,1142.97
 reduce uncertainties.,1143.402,1145.37
 and impress later.,1146.186,1148.058
 made the right,1148.682,1151.13
 from the currently global,1151.178,1153.242
 in a political place.,1154.73,1156.506
 Overdose.,1157.706,1159.098
 improve,1159.242,1160.058
 The property of the company.,1160.97,1163.034
 about our TPAT Center.,1166.538,1168.41
 payment for the,1168.458,1170.2710000000002
 first half year 2023.,1170.2710000000002,1172.5380000000002
 The company,1173.546,1175.13
" Consistent, dependent.",1175.178,1177.146
 for a past few years.,1178.634,1180.122
 and has resolved,1180.458,1182.33
 uh... to pay out the internet,1183.05,1184.826
 even better.,1185.066,1186.554
" little point, a little full back.",1187.946,1189.818
 per share for the first,1190.442,1192.733
" half year of 2023, which",1192.733,1195.482
 which is a burden.,1195.626,1196.922
 36% of the company,1199.178,1201.434
 considered data net profit,1201.866,1204.992
 for the first half year of 2023.,1204.992,1207.77
 The record,1208.394,1209.402
 for the shareholders who,1210.89,1213.146
 entitled,1213.29,1214.202
 It's the right to receive the,1215.018,1216.986
" Internet, DivaTest, or orchestra.",1217.322,1219.77
" 30th, 2023, and under a dividend.",1220.202,1223.706
" has paid on September 12, 2023.",1224.714,1228.698
 slider reduce.,1237.674,1239.834
 4.45% compared to last year.,1239.978,1243.578
 But shit,1247.85,1248.666
 achieve for the six,1249.002,1250.586
 146 medium,1251.21,1253.466
" it's much better than last year, a first half year.",1254.474,1258.17
" So, uh...",1259.37,1260.666
 Ah,1262.826,1263.642
" Half year of 2023, we pay",1263.69,1267.098
" because share, they don't point and they don't fall.",1268.682,1271.13
 It's better than plastic.,1272.33,1275.066
 Let's all for our company overview,1276.074,1278.919
. Thank you very much.,1278.919,1280.73
" Now, uh,",1626.378,1627.482
 uh,1655.562,1656.378
" Now, please, we'd like invite our rights chairmen",1796.394,1799.994
 or to talk about the basis of the,1800.042,1802.01
 According to the world,1804.938,1807.962
 Bank Global Economic,1808.106,1810.338
 Prospect from July 2023.,1810.338,1812.57
 It was shown that there is a treatment of transformation,1812.81,1816.462
 of the signs and also the loss of,1816.462,1818.81
 expertise in service and self-manufacturing activities.,1818.954,1822.746
 The survey also declined manufacturing activity,1823.082,1826.7120000000002
 in some growing numbers of economics.,1826.7120000000002,1829.2740000000001
 economic,1829.802,1831.29
 Reflecting very high financial costs.,1831.53,1834.554
 And also access inventory,1834.794,1837.3590000000002
 is also a sum of world,1837.3590000000002,1839.354
 I become some problems in some sectors.,1839.402,1842.426
" And also, according to the same report,",1842.762,1845.69
 Global financial condition has shown a firm,1845.93,1849.05
 risk sentiment.,1849.386,1850.874
 So while a growing number of emerging markets and,1851.306,1854.712
 developing economic central banks have recently,1854.712,1858.362
 pass the monetary titan,1858.41,1860.186
