text,start,end
ผู้ตอบชิม,17.13,17.946
สวัสดีค่ะ ขอต้อนรับทุกท่านเข้าสู่ Opportunity Day ของ,51.69,55.386
บริษัทแคลคอมอิเล็กทรอนิกส์ ประเทศไทยจำกัดมหาชน,55.434,59.625
 เพื่อแถลงผลประกอบการไตรมาสที่ 2 ของปี 2566,59.625,63.258
วันนี้เราได้รับเกียรติจากท่านผู้บริหารระดับสูงที่จะ,63.402,66.87
เข้ามาร่วมแถลงการและตอบข้อสักข่าวของเราในวันนี้นะคะ,66.87,70.554
โดยผู้บริหารที่เข้าร่วมในวันนี้มี,70.602,73.53
ดังนี้นะคะ ท่านแรกคุณสุยเจลลี ,73.674,76.474
White Share man of the company,76.474,78.714
ขั้นที่สอง คุณฉลด้วยชาว Chef,80.778,82.879
's tragic of the company,82.879,85.242
ท่านเทศาคุณฟงศิษย์ โจกิตเจริญ แมนเนจิ้งเดรังเตอร์,86.922,90.618
อันที่ 4 คุณจินนี่โจ ผู้จัด,91.338,93.498
การนับลงทุนสำคัญ,93.546,95.034
และดิฉันพอลพันธุ์ดุดเมย์นับลงทุนสัมพันธ์ค่ะ,95.178,98.106
วันนี้หัวข้อที่เราจะมาพูดถึงนะ,99.594,101.729
คะก็ในเรื่องของ Company Overview ค่ะ,101.729,104.05799999999999
Financial Highlight ของไตรมาสที่ 2 นะคะ,104.298,107.322
Business Outlook ค่ะ จากนั้นก็จะ,109.098,111.282
มาต่อข้อสังหาของนักลงทุนค่ะ,111.282,113.466
ค่ะ เริ่มแรกเลยนะคะขอเรียลชื่น,115.146,117.402
เรียนชวนคุณโจวพูดในเรื่องของ Company overview,117.45,120.474
คิลคอมไทยล้น,137.61,138.906
ช่องคำไทย,139.338,141.498
1989,143.178,144.666
ห้องที่รับรองที่สุดในไทย,152.682,155.802
สิบ เอ็ด สิบ เอ็ด,161.802,162.618
ทั่ว ๆ รี,167.658,168.474
ทดลอง,177.834,178.65
ในไทย,190.602,191.706
Our main product,197.322,198.714
Printed products,202.122,203.514
ที่ชี้พวกอสเต็มปลี,203.85,205.722
EV Charger,211.242,212.442
อัตราดอกเบี้ยและอีกอันหนึ่ง,218.442,219.93
เรา,220.458,221.37
พอตัวลิสต์สถิติ,231.114,232.41
Floor Area ทั่วๆ นี้,269.706,271.29
Hillcombs เป็นคนที่ 1 ของโลก,277.962,279.738
ผลผลิตภัณฑ์,309.546,311.706
การออกแบบจากชาวลาวไปทางอาเซียนต่างๆ,325.482,328.89
สำหรับไทย,339.594,340.602
พื้นที่ของเราทั้งหมด,340.938,342.906
ทดลองรีบ,349.29,350.49
576,351.114,353.082
แต่บางครั้ง,354.858,355.77
23,361.962,363.066
ได้เอ้ย ลุยอ่ะ,376.65,377.85
ทดลอง,379.818,380.634
276,381.258,383.322
320,408.618,410.202
ทั่วๆ ไป,411.978,412.89
ในมาเลเซีย เรามีพื้นที่,418.506,421.434
และ อ่า วาง,435.69,437.754
Story,452.682,453.498
ของ Wireless Security System,482.346,485.082
พอเราอัพโหลด,493.674,494.682
Printed products including 3D Printer,495.21,498.426
Colorless multi-function,501.834,503.874
 printer and all-in-one,503.874,505.91400000000004
Including ODA,510.858,512.346
อีบีบี,521.13,522.138
สเตอร์ปัส,522.57,523.866
iP TV Set of Bars,525.546,527.514
ของเราที่ทำงานในไทย,540.618,544.218
Nester,928.65,929.562
internally,975.594,976.41
ค่าใช้จ่าย,976.554,977.562
โปรดการควบคุมโปรดการควบคุม,986.442,989.178
Since the year 2020,1018.122,1020.57
