text,start,end
" Hello, good afternoon, investors and",8.97,11.977
 corporate. Welcome to SET Digital Road Show First,11.977,15.485
 Quarter 2023 Performance Review. This section,15.485,18.492
 will run about 45 minutes including Q&A.,18.492,21.499000000000002
 Followed by 15-minute Q&A,25.962,28.218
 and during Q&A,28.65,30.042
 We will open your microphone so you can ask,35.85,38.370000000000005
 the questions to the company directly.,38.370000000000005,40.89000000000001
" So may I now invite Nirvana Development, Public",41.322,45.09
" Company Limited, to start the presentation please.",45.09,48.858000000000004
 Thank you for,51.786,53.562
 Good afternoon everyone.,56.394,57.69
" Actually, maybe got to update, I guess.",62.058,64.986
 We talked about the first order,65.322,68.25
 Result about maybe a month or two ago.,68.298,71.13
 This is our regular,71.562,73.722
 Digital Roadshow,73.962,75.738
 provide updates for those,76.074,78.426
 who may not be in,78.762,80.154
 Okay.,83.274,84.666
 Let me put up,85.77,87.93
" The slight, hopefully, the slight shock comes up properly.",96.81,100.122
 Okay.,100.746,102.33
 I guess what happened in,104.202,106.074
 was that we,108.81,110.394
 began to roll out our business plan.,110.442,113.178
 We launched one,113.61,116.538
" out of total nine projects, nine new projects",117.738,121.722
 planning for the year.,121.962,123.45
" The respondent was Quai, well received.",123.594,125.658
 The result? The performance,127.05,129.226
 car seems to be picking up,129.226,131.13
 The momentum.,131.274,132.762
 especially when you compare it,133.194,135.642
 Prior,135.69,137.082
 which is reflected in financial statements.,139.338,142.266
 uh... d out look uh...,142.506,145.146
 our business plan for the year.,148.842,150.81
 we still have eight more new projects,151.146,155.13
 with the firm's backlogs in our pockets.,156.426,160.026
" Other than that, I'll just go into the detail.",162.378,164.634
 This is a recap of what,165.642,168.35399999999998
 we have communicated,168.35399999999998,171.06599999999997
" widely, publicly.",172.458,174.522
 This year will be,176.298,177.69
 a year we would read,177.93,179.418
 benefit from our asset base.,179.562,182.49
" Two or three years of hibernation, I would say.",185.226,188.442
 We did a couple of things,188.49,191.13
" Fundamentally, we",191.466,193.952
 did a big restructuring in,193.952,196.794
 2021,197.034,198.522
 in terms of balance sheet management.,198.858,201.498
 Also in terms of a shareholding structure as well.,202.89,206.298
" And during 2022,",206.826,209.754
 which we were still,209.994,211.77
 Slow down by,212.298,213.978
 pandemic.,214.314,215.898
 We did a couple of reforms.,216.33,220.122
 Acquire a few pieces of,222.378,224.68499999999997
" new land, raw material.",224.68499999999997,227.32199999999997
" as well as, the product development.",228.522,231.066
 I think if you follow us,231.69,233.778
 closely you might have seen,233.778,235.86599999999999
 some brand new product which we will be prepared,236.202,239.898
 in this presentation as well.,240.138,242.298
 ripping the value forward,244.65,246.906
 means nine projects earmarked for,247.05,250.746
" 21, about 21 billion baht in project",250.89,253.66199999999998
" value, combined project value.",253.66199999999998,255.92999999999998
 some new products coming in,257.514,260.922
" particularly, the very top end, the Wena collection.",261.45,265.05
" Anubhāna, absolute.",265.386,266.778
 and a return of Navana,267.306,269.633
" at work, Home Office product.",269.633,272.25
 which we haven't,272.298,273.594
 launched new project for a while already.,273.642,276.57
 There would be a lounge of 2 high rise condominiums,277.866,281.376
 as well. I will go into detail.,281.376,284.346
 maybe toward the end,284.586,286.266
 Presentation.,287.082,288.378
 And,288.618,289.914
 lastly nirvana porsche,290.058,292.122
 That would be a retail,293.802,296.442
 commercial retail space.,296.778,299.61
" To, basically, poof.",299.754,301.722
 The Township development that we have planned for,303.018,306.618
" Okay, a recap of 9 projects, 21 billion baht.",313.674,317.466
 We want,317.802,319.098
 Planed launch 3 single,319.914,321.899
 detached house projects,321.899,324.282
" nāvāna collection, nāvāna absolute, nāvāna",324.618,327.93
" Asshu in True Location, Koontheprita",327.978,330.858
 and Eka Mayramintra,330.858,332.538
 One Townhouse Project,332.874,334.81600000000003
", known as DeFi.",334.81600000000003,337.146
 It's a new and improved product.,337.194,340.506
 That respond more to the change in behavior,340.842,344.058
 post-the pandemic.,344.394,346.074
 condominium as I mentioned,347.658,350.164
", to high rise one in",350.164,351.834
 Ratanathibet area and one in the center of,352.074,355.29
 Bangkok,355.53,356.922
" Home office, there would be about 2",360.138,363.618
 or 3 projects coming up this year.,363.618,367.098
" In the first Quarter, we launched",367.626,370.554
 nirvana absolute,372.234,373.914
 The second location,375.306,377.082
 of of this series,377.13,379.002
" If you remember, I think",379.338,381.394
" in the second half of last year,",381.394,383.706
 We launched Navana absolute in Bangna,383.946,386.394
 But this one is in the temple of Ravintra.,386.826,389.85
 Not a very big project.,395.85,397.818
 The product itself,399.402,400.89
 area very very well.,402.282,404.826
 The response was quite,405.354,408.09
