,text,start,end
0,สวัสดีครับ,12.618,13.722
1,สวัสดี นักลงทุนทุกท่านนะครับ,14.058,16.53
2, แล้วก็คุณผู้ชมทุกท่านนะครับ,16.53,19.002
3,วันนี้ก็เป็นวัน Auxility Day ที่ผมจะรายงาน,19.242,23.226
4,การล่าสุดนะครับ,23.562,24.762
5,ซึ่งก็ล่าสุดในชื่อไทม่าส์ 2 นะครับ,25.29,28.16
6,แล้วก็อัปเดตเรื่องต่างๆ ของบริษัท Interfarm มา,28.16,31.29
7,เดี๋ยวนะครับ โทษทีครับ,44.298,45.594
8,ก็วิสัยทัศน์ของบริษัทนะครับ,53.706,56.154
9,ก็เราต้องการเป็นพื้นฐานผลิตภัณฑ์สุขภาพแบบครบวงจรนะ,56.586,59.97
10,ครับ ทั้งของคนและของสัตว์จากต้นน้ำ เดินตามตอนน้ำนะครับ,59.97,63.354
11,ก็ขอมอบบินทรัลสุขภาพแบบพวกองค์กรก็,63.882,66.81
12,จะพูดให้ฟังนะครับว่า ว่าเป็นอย่างไรนะครับ,66.954,69.52199999999999
13,แล้วก็จากส้นน้ำเป็นปลายน้ำเป็นอย่างไรนะครับ,69.52199999999999,72.08999999999999
14,สำหรับครบวงจรนะครับ เคยพลัดสุขภาพ,74.25,77.091
15,ในวิสัยทางของบริษัทก็คือว่า,77.091,79.67399999999999
16,จะหมายความว่า ตั้งแต่,79.722,81.978
17,ที่หัวคนเดิมนิดเลยนะครับก็คือเรื่องเกี่ยวกับนวัตกรรมนะครับ ตอนนี้,82.506,86.202
18,งานของผมที่ทำหลักๆ ก็คือเป็นการ,86.346,88.89
19,ไปหาอนุมัติธรรมใหม่ๆ นะครับใน,89.322,91.631
20,การรักษาแล้วก็การป้องกันโรคนะครับ,91.631,94.17
21,แล้วก็ถัดมาอันนี้ก็จะเป็นเรื่องของยาซึ่งปัจจุบัน,94.794,97.752
22,เรามีโรงงานยา 2 โรงนะครับที่ผลิตยาที่เรียกว่า,97.752,100.525
23,เจินดาลิกนะครับหรือ Phenocytical ที่เป็นเจินดาลิก,100.525,103.483
24,แล้วก็จะมีเรื่องของมูลค่าสุทิศแล้ว,105.162,107.442
25,ก็ Cost-Based Surgical นะครับซึ่งมันเป็น,107.442,109.722
26,ตรงกลางนะครับระหว่าง,109.77,111.354
