text,start,end
สวัสดีครับ,12.618,13.722
สวัสดี นักลงทุนทุกท่านนะครับ,14.058,16.53
 แล้วก็คุณผู้ชมทุกท่านนะครับ,16.53,19.002000000000002
วันนี้ก็เป็นวัน Auxility Day ที่ผมจะรายงาน,19.242,23.226
การล่าสุดนะครับ,23.562,24.762
ซึ่งก็ล่าสุดในชื่อไทม่าส์ 2 นะครับ,25.29,28.16
แล้วก็อัปเดตเรื่องต่างๆ ของบริษัท Interfarm มา,28.16,31.29
เดี๋ยวนะครับ โทษทีครับ,44.298,45.594
ก็วิสัยทัศน์ของบริษัทนะครับ,53.706,56.154
ก็เราต้องการเป็นพื้นฐานผลิตภัณฑ์สุขภาพแบบครบวงจรนะ,56.586,59.97
ครับ ทั้งของคนและของสัตว์จากต้นน้ำ เดินตามตอนน้ำนะครับ,59.97,63.354
ก็ขอมอบบินทรัลสุขภาพแบบพวกองค์กรก็,63.882,66.81
จะพูดให้ฟังนะครับว่า ว่าเป็นอย่างไรนะครับ,66.954,69.52199999999999
แล้วก็จากส้นน้ำเป็นปลายน้ำเป็นอย่างไรนะครับ,69.52199999999999,72.08999999999999
สำหรับครบวงจรนะครับ เคยพลัดสุขภาพ,74.25,77.091
ในวิสัยทางของบริษัทก็คือว่า,77.091,79.67399999999999
จะหมายความว่า ตั้งแต่,79.722,81.978
ที่หัวคนเดิมนิดเลยนะครับก็คือเรื่องเกี่ยวกับนวัตกรรมนะครับ ตอนนี้,82.506,86.202
งานของผมที่ทำหลักๆ ก็คือเป็นการ,86.346,88.89
ไปหาอนุมัติธรรมใหม่ๆ นะครับใน,89.322,91.631
การรักษาแล้วก็การป้องกันโรคนะครับ,91.631,94.17
แล้วก็ถัดมาอันนี้ก็จะเป็นเรื่องของยาซึ่งปัจจุบัน,94.794,97.752
เรามีโรงงานยา 2 โรงนะครับที่ผลิตยาที่เรียกว่า,97.752,100.52499999999999
เจินดาลิกนะครับหรือ Phenocytical ที่เป็นเจินดาลิก,100.52499999999999,103.48299999999999
แล้วก็จะมีเรื่องของมูลค่าสุทิศแล้ว,105.162,107.44200000000001
ก็ Cost-Based Surgical นะครับซึ่งมันเป็น,107.44200000000001,109.72200000000001
ตรงกลางนะครับระหว่าง,109.77,111.354
อาหารเสริมจากยานะครับที่เรียกว่าฟูจินาเทศักดิ์,111.882,115.29
แล้วก็ระหว่างเครื่องสำอางกับยาเนี่ยก็จะเรียกว่า,115.626,119.322
คอร์สเมสิทธิพลหรือเม็ดสัมภาษณ์นะครับ,119.754,122.394
