,text,start,end
0,สวัสดีครับ,12.53,13.7199375
1,สวัสดี เอ่อ นักลงทุนทุกท่านนะครับ,14.3099375,16.6199375
2,แล้วก็ เอ่อ คุณผู้ชมทุกท่านนะครับ,16.6199375,18.9299375
3,นี่ก็เป็นวัน Auxility Day ที่ผมจะรายงาน,19.38,23.16
4,การล่าสุดนะครับ,23.5,24.72
5,ซึ่งก็ล่าสุดในสินทรัพย์รอบ 2 นะครับ,25.1499375,28.0819375
6, แล้วก็อัปเดตเรื่องต่างๆ ของบริษัท Interfarm มาก,28.0819375,31.2799375
7,ครับ,31.86,32.27
8,เอ๊ะ ไม่เหนื่อยเลย,34.38,35.93
9,อย่านะครับ ท้อที่,44.45,45.59
10,ก็วิชัยทัศน์ของบริษัทนะครับ,53.35,56.2
11,ก็เราต้องการเป็นผู้นำผลิตภัณฑ์สุขภาพแบบครบวงจรนะ,56.73,59.985
12,ครับทั้งของคนแล้วก็ของสัตว์จากต้นน้ำเดินตายน้ำนะครับ,59.985,63.24
13,ก็ขอมาปริศนาสุขภาพกับพวกองค์กรก็,63.9899375,66.79
14,จะพูดให้ฟังนะครับว่า ว่าเป็นอย่างไรนะครับ,67.1,69.60499999999999
15,แล้วก็จากส้นน้ำเป็นปลายน้ำเป็นอย่างไรนะครับ,69.60499999999999,72.10999999999999
16,ไว้สมัคร,73.36,74.0099375
17,สำหรับครบวงจรนะครับ เอ่อ เครดิตทางสุขภาพเนี่ยในใน,74.33,78.175
18,วิสัยทางของบริษัทก็คือว่าจะหมายความว่าตั้งแต่เอ่อ,78.175,82.02
19,ที่หัวพลิมิตเลยนะครับก็คือเรื่องเกี่ยวกับนวัตกรรม,82.67,85.668
20,นะครับ ตอนนี้งานของผมที่ทำหลักๆ ก็คือเป็นการ,85.668,88.88000000000001
21,ไปหานวัฏกรรมใหม่ๆ นะครับใน,89.44,91.697
22,การรักษาแล้วก็การป้องกันโรคนะครับ,91.697,94.18
23,แล้วก็ถัดมาอันนี้ก็จะเป็นเรื่องของยาซึ่งปัจจุบัน,94.81,97.744
24,เรามีโรงงานยา 2 โรงนะครับที่ผลิตยาที่เรียกว่า,97.744,100.495
25,เจินาลิกนะครับหรือ Phenocytical ที่เป็นเจินาลิก,100.495,103.429
26,ครับ,104.27,104.88
27,แล้วก็จะมีเรื่องของมูลค่าสุทธิโทรลแล้วก็,105.24,108.22
28, cost based นะครับซึ่งมันเป็นตรงกลางนะครับระหว่าง,108.22,111.43
29,อาหารเสริมจากยานะครับที่เรียกว่าโฆษณเคสับ,111.97,115.3
30,แล้วก็ระหว่างเครื่องสำอางกับยาเนี่ยก็จะเรียกว่า,115.75,119.38
31,คอร์สเมสิกินข้าวหนึ่งได้ใช้สัมภาษณ์นะครับ,119.8999375,122.2999375
32,แล้วก็หมายรวมถึงเรื่องของเซตเตอร์เทลตี้ฟูด เทลตี้ดิ๊ก,123.22,126.682
33,นะครับ เทลตี้แฟนแอค,126.682,127.98
34,แล้วก็ Personal Care นี้ก็ยังอยู่ใน,128.69,131.249
35,สโคปที่ทางบริษัทจะดำเนินธุรกิจนะครับ,131.249,134.04
36,เพราะว่าผมเองก็มีความเชื่อว่า,135.3299375,137.81
37,กินทานสุขภาพอย่างเช่นอาหารเนี่ยอนาคตมันอาจ,138.28,140.952
38,จะแท็กเกิลกันตั้งแต่การที่เรารับประทานอาหาร,140.952,143.82999999999998
39,อาหารที่เราทานอะไรต่างๆเนี่ย,144.5499375,146.54
40,ก็คนเขาจะเริ่มใส่ใจเรื่องว่าอาหารที่ทำจะ,147.04,150.173
41,ต้องปลอดภัย แล้วก็ดีต่อสุขภาพนะครับ รวมทั้งเครื่องดื่ม,150.173,153.53
42,สำคัญของทางเล่นนะครับ,153.95,155.68
43,พูดถึง tomacidical นะครับอันนี้ก็จะเป็นตัวอย่างของยาที่,157.87,161.42
44,โรงงานโรงผลิตจากทั้งสองโรงงานนะครับที่สมุดประชาธิปไตย,162.0199375,165.7719375
45,ชื่อใบสัตย์ย่อยที่ชื่อว่าโหมดด้านฝามาก,165.7719375,168.1999375
46,แล้วก็โรงงานที่ชื่อ Inter-,168.78,171.125
47,Sarma ที่อยู่ อายุขยะนะครับ,171.125,173.47
48,ที่อยู่ในฟลอปประสาทคำรสชนะสอง อย่างเช่นซิมเน็ต,173.98,176.76999999999998
49,ก็เป็นยารถไขมัน เม็ดฟอลลินก็เป็นยาเบาหวาน,176.76999999999998,179.55999999999997
50,Sensing ก็คือยาแก้แพ้แบบไม่ง่วง AlloTap,180.06,182.335
51, ก็เป็นยาแก้แพ้แบบไม่ง่วงอีกกลุ่มหนึ่งนะครับ,182.335,184.61
52,ทั้งสองกลุ่มเนี้ยก็เป็น เอ่อ ปัจจุบันแพทย์ก็จะใช้กันอยู่ด้วยครับ,185.11,188.79
53,ไปลบต้นก็พยายามรักษาโรคเฟลินนะครับ,189.33,191.54
54,ดังนั้นขวาก็จะเป็นตัวอย่างของยาที่ผลิตที่,191.89,195.39
55,สมมติประการนะครับปัจจุบันเนี่ยสาธิตัวเนี้ยเราก็มี,196.04,199.305
56,แผนนะครับในการที่จะทำให้มันเป็นโอทีซีแปลนะครับ,199.305,202.57
57,ที่จะเป็นยาที่ใช้กันอย่างเท่าไหร่ในร้านใช้ยา,203.17,206.74
58,อย่างเช่นเบลล่าพลาดเนี่ยเป็นยาสอนวันประจำบ้านนะครับ,207.19,211.09
59,ที่ ที่เราพึ่งประกอบ,211.67,213.3
60,อีกโฆษณาที่มีคนอ้างเป็นพรีเซนเตอร์นะครับ,213.6,215.97
61,ก็ส่วนโรงงานอายุทธยาเราก็จะผลิตที่,218.07,221.11
62,น่าจะเป็นยอดของคนในมิตรนะครับ,221.37,223.385
63,ที่เป็นกลุ่มที่เรียกว่าญาตานะครับ,223.385,225.4
64,ซึ่งยาต่างก็อย่างที่เคยเรียนแล้วคือหลายๆครั้งนะครับว่า,225.89,229.8
65,ในเมืองไทยมีโรงงานที่สามารถ,230.09,233.178
66,ผลิตยาตาได้ไม่กี่โลม,233.178,235.58
67,คิดว่าถ้าเป็นผู้ผลิตในประเทศเนี่ย,236.29,238.86
68, โรงงานยุทยาน่าจะเป็นอันดับหนึ่ง,238.86,241.43
69,นอกนั้นก็จะเป็นสินค้านั่ง,242.02,243.29
70,แล้วก็ผลิตในมาตรฐานระดับโลกนะครับ,243.61,247.4899375
71,ที่กลุ่มนี้ก็ยังเป็นที่ทางเพวาหรือ,247.98,250.375
72,ทศักดิ์ญาณดับหนึ่งของอิสลาเอนะครับ,250.375,252.77
73,มันก็เป็นยาเจนลิก ในสัตว์ยาเจนลิกอันดับหนึ่ง,253.09,255.885
74,ของโลกเนี่ยเขามาจ้างเราผลิตอยู่ ผลิตยาตาต่างๆ,255.885,258.68
75,แต่อย่างที่เคยเห็นนะครับ เราก็จะมีแผน,259.45,261.524
76,ผลิตยาตาของเราเอง ซึ่งตอนนี้ก็พัฒนาอยู่,261.524,263.77
77,แต่ก็จะมีขั้นตอนการขึ้นในเรียนอะไรต่างๆ,264.72,267.33500000000004
78, ก็คิดว่าจะล้อสัญญาตาของเราเองได้ในปี,267.33500000000004,269.95000000000005
79,สองพันห้าร้อยหกสิบแปดนะครับ ปี สอง,270.22,273.32
80,ยี่สิบห้าปี,273.69,274.61
81,อีก 2 ปีข้างหน้านะครับ,275.02,276.38
82,นี่ก็จะเป็นตัวอย่างนะครับโฆษณา เอ่อ,278.59,281.16799999999995
83, ที่จริงจริงแล้วเป็นคลิปนะครับ แต่เข้าใจว่า,281.16799999999995,283.98
0, I'm not sure whether it's right or not.,284.84,286.79
84,เปิดไม่ได้นะครับ ก็พอดีจะทรงไปเป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น,287.53,291.22
85, เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น,291.22,294.91
86, เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็,294.91,298.6
87,เราจะเห็นว่า ยาแก้ปวดในท้องตลาด,299.24,301.382
88,ความเย็น ปุ๊บ ยาแก้ปวดหัวนะครับ,301.382,303.31
89,พวกเราเนี่ยได้รับการอุณหภาพจากออย่อเนี่ย,303.9199375,306.2099375
90, สามารถประทับอาการปวดได้ถึง 7 ปวดนะครับ,306.2099375,308.68993750000004
91,ไม่ว่าจะปวดหัว ปวดฟัน ปวดประจำ,309.05,311.57
92,เดือน ปวดท่อ ปวดเมื่อยจากไขวัตถ์นะครับ,311.57,314.09
93,ตอนนี้เราก็ยิงโฆษณาอยู่ คิดว่าหลายๆท่านคงได้เห็นเลยครับ,316.37,319.64
94,ตอนนี้ครับ เราก็เอาพิสดาร์ขึ้นนะครับ,321.2899375,323.89
95,เสียงอาจจะไม่ออกนะครับ หัวปวดประจำเดือนนะครับ,324.61,327.89
96,ตรวจหลังนะครับ,330.2,331.62
97,ปวดหัว ปวดหลัง ปวดฟัน ปวดข้อ ปวดกล้ามเนื้อ,334.96,337.195
98, ปวดประจำเดือน ปวดเมื่อยจากไข้หวัดนะครับ,337.195,339.43
99,ปัจจุบันก็ขายอยู่ในทุกช่อง,340.04,342.243
100,ทางนะครับไม่ว่าเซเว่นท์ มีนิมา,342.243,344.69
101,เบอร์เทิร์นเทรดแล้วก็ล้างสัญญาณรูปไฟนะครับ,345.23,347.93
102,"เราก็คิดว่าเรากระจายได้อยู่ประมาณสัก 4,000 ล้าน",348.43,351.5
103,"ชานะครับ เราพยายามจะขยายพวก 10,000 ล้านชานะครับ",351.5,354.57
104,อันนี้เราก็ปัจจุบันเราก็เลยมีผลิตภัณฑ์,356.53,359.997
105,ที่เรามีพรีเซนเตอร์อยู่ 3 ตัวนะครับ,359.997,362.93
106,เวลาพลาก็คือคนอ้างนะครับยาสี,363.77,366.614
107,ฟันโปรไบโอติกของเราก็คือคุณ,366.614,369.2
108,อินเบลลีนะครับ,369.69,370.73
109,แล้วก็มีโปรแกรมชิลเว้นที่คุณ,371.03,374.11
110,แม้แต่พยายาม Impost แล้วต่อ,374.55,377.21
111,ในกลุ่มนูเช่าซูติโคลด์ เราต้องเหมือนเดิมนะครับ ผลัดเมืองทองโลก,379.79,383.804
112,จะมีตั้งแต่โปรแกรม ฟรีโบล วิตามินรวมต่างๆ,383.804,387.11
113,แล้วก็อย่างที่ท่านทราบนะครับว่า โอ้โห,389.74,393.2899375
114,ของเราก็ยังเป็นยอดขายอันดับหนึ่งในร้านคัญญานะครับ,393.61,396.52
115,แล้วในโรงพยาบาลก็เป็นอันดับหนึ่งนะครับ ใน,397.0699375,399.5599375
