text,start,end
สวัสดีครับ,12.53,13.7199375
สวัสดี เอ่อ นักลงทุนทุกท่านนะครับ,14.3099375,16.6199375
แล้วก็ เอ่อ คุณผู้ชมทุกท่านนะครับ,16.6199375,18.929937499999998
นี่ก็เป็นวัน Auxility Day ที่ผมจะรายงาน,19.38,23.16
การล่าสุดนะครับ,23.5,24.72
ซึ่งก็ล่าสุดในสินทรัพย์รอบ 2 นะครับ,25.1499375,28.0819375
 แล้วก็อัปเดตเรื่องต่างๆ ของบริษัท Interfarm มาก,28.0819375,31.2799375
ครับ,31.86,32.27
เอ๊ะ ไม่เหนื่อยเลย,34.38,35.93
อย่านะครับ ท้อที่,44.45,45.59
ก็วิชัยทัศน์ของบริษัทนะครับ,53.35,56.2
ก็เราต้องการเป็นผู้นำผลิตภัณฑ์สุขภาพแบบครบวงจรนะ,56.73,59.985
ครับทั้งของคนแล้วก็ของสัตว์จากต้นน้ำเดินตายน้ำนะครับ,59.985,63.24
ก็ขอมาปริศนาสุขภาพกับพวกองค์กรก็,63.9899375,66.79
จะพูดให้ฟังนะครับว่า ว่าเป็นอย่างไรนะครับ,67.1,69.60499999999999
แล้วก็จากส้นน้ำเป็นปลายน้ำเป็นอย่างไรนะครับ,69.60499999999999,72.10999999999999
ไว้สมัคร,73.36,74.0099375
สำหรับครบวงจรนะครับ เอ่อ เครดิตทางสุขภาพเนี่ยในใน,74.33,78.175
วิสัยทางของบริษัทก็คือว่าจะหมายความว่าตั้งแต่เอ่อ,78.175,82.02
ที่หัวพลิมิตเลยนะครับก็คือเรื่องเกี่ยวกับนวัตกรรม,82.67,85.668
นะครับ ตอนนี้งานของผมที่ทำหลักๆ ก็คือเป็นการ,85.668,88.88000000000001
ไปหานวัฏกรรมใหม่ๆ นะครับใน,89.44,91.697
การรักษาแล้วก็การป้องกันโรคนะครับ,91.697,94.18
แล้วก็ถัดมาอันนี้ก็จะเป็นเรื่องของยาซึ่งปัจจุบัน,94.81,97.744
เรามีโรงงานยา 2 โรงนะครับที่ผลิตยาที่เรียกว่า,97.744,100.495
เจินาลิกนะครับหรือ Phenocytical ที่เป็นเจินาลิก,100.495,103.429
ครับ,104.27,104.88
แล้วก็จะมีเรื่องของมูลค่าสุทธิโทรลแล้วก็,105.24,108.22
 cost based นะครับซึ่งมันเป็นตรงกลางนะครับระหว่าง,108.22,111.42999999999999
อาหารเสริมจากยานะครับที่เรียกว่าโฆษณเคสับ,111.97,115.3
แล้วก็ระหว่างเครื่องสำอางกับยาเนี่ยก็จะเรียกว่า,115.75,119.38
คอร์สเมสิกินข้าวหนึ่งได้ใช้สัมภาษณ์นะครับ,119.8999375,122.2999375
แล้วก็หมายรวมถึงเรื่องของเซตเตอร์เทลตี้ฟูด เทลตี้ดิ๊ก,123.22,126.682
นะครับ เทลตี้แฟนแอค,126.682,127.98
แล้วก็ Personal Care นี้ก็ยังอยู่ใน,128.69,131.249
สโคปที่ทางบริษัทจะดำเนินธุรกิจนะครับ,131.249,134.04
เพราะว่าผมเองก็มีความเชื่อว่า,135.3299375,137.81
กินทานสุขภาพอย่างเช่นอาหารเนี่ยอนาคตมันอาจ,138.28,140.952
จะแท็กเกิลกันตั้งแต่การที่เรารับประทานอาหาร,140.952,143.82999999999998
อาหารที่เราทานอะไรต่างๆเนี่ย,144.5499375,146.54
ก็คนเขาจะเริ่มใส่ใจเรื่องว่าอาหารที่ทำจะ,147.04,150.173
ต้องปลอดภัย แล้วก็ดีต่อสุขภาพนะครับ รวมทั้งเครื่องดื่ม,150.173,153.53
สำคัญของทางเล่นนะครับ,153.95,155.68
พูดถึง tomacidical นะครับอันนี้ก็จะเป็นตัวอย่างของยาที่,157.87,161.42
โรงงานโรงผลิตจากทั้งสองโรงงานนะครับที่สมุดประชาธิปไตย,162.0199375,165.7719375
ชื่อใบสัตย์ย่อยที่ชื่อว่าโหมดด้านฝามาก,165.7719375,168.1999375
แล้วก็โรงงานที่ชื่อ Inter-,168.78,171.125
Sarma ที่อยู่ อายุขยะนะครับ,171.125,173.47
ที่อยู่ในฟลอปประสาทคำรสชนะสอง อย่างเช่นซิมเน็ต,173.98,176.76999999999998
ก็เป็นยารถไขมัน เม็ดฟอลลินก็เป็นยาเบาหวาน,176.76999999999998,179.55999999999997
Sensing ก็คือยาแก้แพ้แบบไม่ง่วง AlloTap,180.06,182.335
 ก็เป็นยาแก้แพ้แบบไม่ง่วงอีกกลุ่มหนึ่งนะครับ,182.335,184.61
ทั้งสองกลุ่มเนี้ยก็เป็น เอ่อ ปัจจุบันแพทย์ก็จะใช้กันอยู่ด้วยครับ,185.11,188.79
ไปลบต้นก็พยายามรักษาโรคเฟลินนะครับ,189.33,191.54
ดังนั้นขวาก็จะเป็นตัวอย่างของยาที่ผลิตที่,191.89,195.39
สมมติประการนะครับปัจจุบันเนี่ยสาธิตัวเนี้ยเราก็มี,196.04,199.30499999999998
แผนนะครับในการที่จะทำให้มันเป็นโอทีซีแปลนะครับ,199.30499999999998,202.56999999999996
ที่จะเป็นยาที่ใช้กันอย่างเท่าไหร่ในร้านใช้ยา,203.17,206.74
อย่างเช่นเบลล่าพลาดเนี่ยเป็นยาสอนวันประจำบ้านนะครับ,207.19,211.09
ที่ ที่เราพึ่งประกอบ,211.67,213.3
อีกโฆษณาที่มีคนอ้างเป็นพรีเซนเตอร์นะครับ,213.6,215.97
ก็ส่วนโรงงานอายุทธยาเราก็จะผลิตที่,218.07,221.11
น่าจะเป็นยอดของคนในมิตรนะครับ,221.37,223.385
ที่เป็นกลุ่มที่เรียกว่าญาตานะครับ,223.385,225.39999999999998
ซึ่งยาต่างก็อย่างที่เคยเรียนแล้วคือหลายๆครั้งนะครับว่า,225.89,229.8
ในเมืองไทยมีโรงงานที่สามารถ,230.09,233.178
ผลิตยาตาได้ไม่กี่โลม,233.178,235.57999999999998
คิดว่าถ้าเป็นผู้ผลิตในประเทศเนี่ย,236.29,238.85999999999999
 โรงงานยุทยาน่าจะเป็นอันดับหนึ่ง,238.85999999999999,241.42999999999998
นอกนั้นก็จะเป็นสินค้านั่ง,242.02,243.29
แล้วก็ผลิตในมาตรฐานระดับโลกนะครับ,243.61,247.4899375
ที่กลุ่มนี้ก็ยังเป็นที่ทางเพวาหรือ,247.98,250.375
ทศักดิ์ญาณดับหนึ่งของอิสลาเอนะครับ,250.375,252.77
มันก็เป็นยาเจนลิก ในสัตว์ยาเจนลิกอันดับหนึ่ง,253.09,255.885
ของโลกเนี่ยเขามาจ้างเราผลิตอยู่ ผลิตยาตาต่างๆ,255.885,258.68
แต่อย่างที่เคยเห็นนะครับ เราก็จะมีแผน,259.45,261.524
ผลิตยาตาของเราเอง ซึ่งตอนนี้ก็พัฒนาอยู่,261.524,263.77
แต่ก็จะมีขั้นตอนการขึ้นในเรียนอะไรต่างๆ,264.72,267.33500000000004
 ก็คิดว่าจะล้อสัญญาตาของเราเองได้ในปี,267.33500000000004,269.95000000000005
สองพันห้าร้อยหกสิบแปดนะครับ ปี สอง,270.22,273.32
ยี่สิบห้าปี,273.69,274.61
อีก 2 ปีข้างหน้านะครับ,275.02,276.38
นี่ก็จะเป็นตัวอย่างนะครับโฆษณา เอ่อ,278.59,281.16799999999995
 ที่จริงจริงแล้วเป็นคลิปนะครับ แต่เข้าใจว่า,281.16799999999995,283.97999999999996
เปิดไม่ได้นะครับ ก็พอดีจะทรงไปเป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น,287.53,291.21999999999997
 เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น เป็น,291.21999999999997,294.90999999999997
