text,start,end
ซึ่งก็ล่าสุดในชื่อไทม่าส์ 2 นะครับ,25.29,28.16
แล้วก็อัปเดตเรื่องต่างๆ ของบริษัท Interfarm มา,28.16,31.29
ก็เราต้องการเป็นพื้นฐานผลิตภัณฑ์สุขภาพแบบครบวงจรนะ,56.586,59.97
ครับ ทั้งของคนและของสัตว์จากต้นน้ำ เดินตามตอนน้ำนะครับ,59.97,63.354
สำหรับครบวงจรนะครับ เคยพลัดสุขภาพ,74.25,77.091
ในวิสัยทางของบริษัทก็คือว่า,77.091,79.67399999999999
แล้วก็ถัดมาอันนี้ก็จะเป็นเรื่องของยาซึ่งปัจจุบัน,94.794,97.752
เรามีโรงงานยา 2 โรงนะครับที่ผลิตยาที่เรียกว่า,97.752,100.52499999999999
เจินดาลิกนะครับหรือ Phenocytical ที่เป็นเจินดาลิก,100.52499999999999,103.48299999999999
ที่ทานสุขภาพอย่างเช่นอาหารเนี่ยอนาคตมันอาจ,138.186,140.89000000000001
จะแตกต่อกันตั้งแต่การที่เรารับประทานอาหาร,140.89000000000001,143.80200000000002
โรงงานโรงผลิตจากทั้งสองโรงงานนะครับที่สำเร็จประจาน,161.898,165.252
ที่ภายใต้ซื้อใบสัดย่อยที่ชื่อว่า Modern Smart มาก,165.252,168.186
ยาตาในเมืองไทยมีโรงงานที่,229.962,232.72199999999998
สามารถผลิตยาตาได้ไม่กี่โลม,232.72199999999998,235.48199999999997
นี้ก็จะเป็นตัวอย่างนะครับโฆษณา เอ่อ,278.442,281.036
 ที่จริงๆแล้วเป็นคลิปนะครับ แต่เข้าใจว่า,281.036,283.866
นี้เราก็จะมาด้วยความสัมพันธ์เรื่องของการ,293.13,295.842
ลดไข้แล้วก็บรรทองการปวดทั้ง 7 นะครับ,295.842,298.554
"ตอนนี้เราก็คิดว่าเรากระจายได้อยู่ประมาณสัก 4,000",348.33,351.389
" ล้านชานะครับ เราพยายามจะขยายให้พวก 10,000 ล้านชานะครับ",351.389,354.618
อันนี้เราก็ปัจจุบันเราก็เลยมีผลิตภัณฑ์,356.394,359.956
ที่เรามีพรีเซนเตอร์อยู่ 3 ตัวนะครับ,359.956,362.97
เพราะว่าเวลาคุณโฟกัสกับปัจจุบันในท้องถนนมีค่อนข้างเยอะ,423.498,426.884
นะครับ เราเป็นรายแรกก็จริง ปัจจุบันเหล่านี้ก็น่าจะมีเป็นร้อย,426.884,430.458
ก็จะส่วนใหญ่เราจะพัฒนาอยู่บนทหารของโปรเกติก,455.946,459.30600000000004
นะครับ ไม่ว่าจะยาสิทธิ์บรรพบุรังนะ โปรเกติก,459.30600000000004,462.42600000000004
แนวโน้ตนะครับถ้าเราถามทันตแพทย์เนี่ยก็จะมี,501.258,504.162
บทบาทกับการใช้โปรเกติกเนี่ยเป็นระยะสิบวัน,504.162,507.066
เฉพาะเราใส่สารฉับฟันไม่มาก รสชาติอ่อนโยง,514.602,517.582
 และสร้างสมดุลของแบคทีเรียในช่องปาก,517.582,520.314
