start	end	text
0	27440	Okay, good afternoon. Thanks for all the shareholders coming to CCET Opportunity Day. As you understand,
27440	35680	we are going to have a new share issue. That's why we want to take this opportunity to introduce,
35680	46160	to explain what kind of expansion that we will be doing with the new share coming in.
46160	49040	So, can we go to the next page?
76400	78400	White Chairman of the Company.
82400	84400	Chief Strategic Officer of the Company.
90400	92400	Managing Director.
102400	104400	Company Overview
106160	108160	Company Overview
123280	129920	Okay, good afternoon. I am Tony Cho. First of all, I would like to take this opportunity
130800	141120	to give you a brief introduction about our company overviews. KioCom Thailand Company was
141120	154080	established in 1989. Our business is a global E&S ODM manufacturing service. Our headquarters
154080	168160	located in Thailand. There are totally 23,477 employees in Thailand and globally totally
169120	184480	46,759 employees. Currently, our capital is totally 5.85 billion baht. Our outstanding share
185440	196240	in Thailand totally 4.79 billion shares. In Taiwan, totally 1.06 billion TDR shares.
197280	205520	Our main product types including storage devices, printer products, PC board assembly,
206160	215600	smart course machines, shuttle bus devices, EV charger, home wireless security system,
216560	224720	smart wearable devices, and more. Our manufacturing location including Thailand,
224720	233920	China, Singapore, Malaysia, the Philippines, USA, Mexico, and Brazil, totally 33 factories
233920	247120	worldwide. Our revenue last year achieved 4.9 billion US dollars. Our worldwide factories
247680	264000	totally 33 factories and employees totally 46,759 employees. Our total length area totally 2.1
264000	275120	million square meters and the factory floor area totally 1.4 million square meters.
277920	289040	PioCom is the number one E&S JDM and ODM in Southeast Asia. We have factories in Thailand,
289040	296720	Philippines, and Malaysia of Southeast Asia. Especially the factories in Thailand which has
296720	306720	been established for over 33 years and currently has plans for further expansion in Thailand.
307520	315840	Due to worldwide manufacturing comes at China plus one. So currently many of
317440	328800	branding customers move their manufacturing from operation from China to Southeast Asia.
329600	338880	So we have operation in Thailand, Philippines, Malaysia, and Southeast Asia.
339520	347840	For Thailand our length area totally about one million square meters and our factories
347840	366480	floor area totally 576,705 square meters. Our total employees in Thailand 23,477
367280	377760	employees. There are 16 factories in Thailand. Our Philippines operation length area
378400	392960	uh uh totally 276,707 square meters. Our floor our factories floor area totally
393760	411200	204,797 square meters. In the Philippines our employees totally 11,320 employees.
413200	420400	There are totally seven factories in our Philippine side. In Malaysia we have our
420480	435040	length area 9,583 square meters and our floor area totally 5,864 square meters.
436080	445840	There are 132 employees in our Malaysia site. We have only one factory in Malaysia.
445840	458960	Our products uh about the store sort of storage uh uh we have a PC board assembly for hard disk
458960	470160	driver external hard disk and NAS server PC board assembly and the finished goods assembly SSD
470160	479440	and the memory card and the pen driver non-store energy products including EV charge charger
480160	490640	smart wearable device home wireless security system smart pause solar power module iot devices
490640	500480	and the sensor and the ip camera our printer products including 3d printer uh inject multi
500480	509520	function printer colorless multi-function printer and the all-in-one printer uh about the communication
510480	527200	uh including odn hdpr setup bus oen dvbtvr setup bus odn dvbs setup bus odn iptv setup bus
527840	530960	wi-fi ap and the mobile phone
531440	538800	okay so uh i would like to further show you about uh our manufacturing base in
538800	552640	thailand by playing uh six minutes uh video clip
560960	570640	so
590960	600640	so
620960	630640	so
650960	660640	so
660960	670640	so
680960	690640	so
694720	704640	so
711760	720640	so
724320	734640	so
830960	837960	I'm going to show you a little bit of what it looks like when you put it in the water.
837960	844960	I'm going to show you a little bit of what it looks like when you put it in the water.
844960	851960	I'm going to show you a little bit of what it looks like when you put it in the water.
851960	858960	I'm going to show you a little bit of what it looks like when you put it in the water.
858960	865960	I'm going to show you a little bit of what it looks like when you put it in the water.
865960	872960	I'm going to show you a little bit of what it looks like when you put it in the water.
872960	879960	I'm going to show you a little bit of what it looks like when you put it in the water.
879960	886960	I'm going to show you a little bit of what it looks like when you put it in the water.
886960	893960	I'm going to show you a little bit of what it looks like when you put it in the water.
893960	900960	I'm going to show you a little bit of what it looks like when you put it in the water.
900960	907960	I'm going to show you a little bit of what it looks like when you put it in the water.
907960	914960	I'm going to show you a little bit of what it looks like when you put it in the water.
914960	938960	Next, let me introduce the executive summary about the operational highlights and business
938960	943960	overviews for the first half of the year 2023.
943960	958960	Electronic products worldwide were impacted by the global inventory issue and the global weak economic situation during the first half year of 2023.
958960	970960	Therefore, the sales revenue has slightly reduced by 4.45 percent for the first half year of 2023.
970960	981960	But at the same time, the company has been through some internal cost improvement and organization restructuring,
981960	988960	as well as continuously enhanced our automated production system.
989960	1003960	Therefore, the overall net profit has increased by 77.79 percent as compared to the previous year, 2022.
1003960	1012960	On the other hand, although the global electronics market trend is yet to be fully recovered,
1012960	1020960	the company has few more new product implementation since year 2021.
1020960	1030960	Therefore, the company still has positive views for the overall performance in year 2023.
1030960	1048960	So you can see since 2021, our revenue gradually increased due to a few more new customers and new products coming.
1048960	1060960	About the fund-raising program for the company's business implementation plan.
1060960	1073960	The company has resolved the fund-raising program by the insurance and allocation of new issued ordinary shares to the company's shareholders
1074960	1081960	and shall propose for the shareholders meeting approval plans.
