start	end	text
0	14840	Hello, good afternoon, investors and corporates. Welcome to ZDigital Roadshow first quarter
14840	22400	2023 performance review. This section will run about 45 minutes including Q&A. Company
22400	29680	will start the section by 30-minute presentation followed by 15-minute Q&A. And during Q&A,
30320	35200	investors may leave your question in the meeting room chat box or use the raise your hand function.
35840	40640	We will open your microphone so you can ask the questions to the company directly.
41360	48240	So may I now invite Nirvana Development, Patrick Company Limited, to start the presentation,
48240	53280	please. Thank you. Thank you for the introduction.
56320	64160	Good afternoon, everyone. I want to ask back to report, actually maybe to update. I guess
65280	73280	we talked about the first quarter results about maybe a month or two ago. This is our regular
73920	83440	digital roadshow that we provide updates for those who may not be in Bangkok. Okay.
85920	87600	Let me put up the slides.
87600	107200	Okay. Hopefully the slideshow comes up properly. Okay. I guess what happened in the first quarter
107760	119520	was that we began to roll out our business plan. We opened, we launched one project out of total
119520	125440	nine new projects that we planned for the year. The response was quite well received.
127040	135200	The result, the performance seems to be picking up the momentum especially when you compare to the
135760	147440	prior quarter, which reflected in the financial statements. The outlook, we're still moving on
148800	154560	our business plan for the year. We still have eight more new projects to launch
156320	164320	with the firm backlogs in our pockets. Other than that, I'll just go into the detail.
166160	176800	This is basically a recap of what we have communicated widely, publicly that this year
176800	186560	will be a year that we would reap benefit from our asset base. After two or three years of
186560	196320	hibernation, I would say, we did a couple of things fundamentally. We did a big restructuring in
196960	206000	2021 in terms of balance sheet management, also in terms of shareholding structure as well.
206880	218800	And during 2022, which we were still slowed down by the pandemic, we did a couple of reforms,
222320	230880	acquired a few pieces of new land, raw material, as well as the product development.
231680	238560	I think if you follow us closely, you might have seen some brand new product, which we
238560	247040	will prepare to show in this presentation as well. So for reaping the value forward,
247040	254400	means nine projects earmarked for this year, about 21 billion baht in project values,
254400	263600	combined project values. Some new products coming in, particularly the very top end,
263600	272320	Novana Collection and Novana Absolute, and a return of Novana at Work home office product,
272320	281040	which we haven't launched new project for a while already. There would be a launch of two
281040	287760	high-rise condominiums as well. I will go into detail maybe toward the end of the presentation.
