true_text,pred_text
สวัสดีครับ,สวัสดีครับ
สวัสดีครับ,เชิญ
ขอต้อนรับลงทุนนะครับ เข้าสู่งาน,ก็จะรับนักลงทุนนะครับเข้าสู่งาน
opportunity day นะครับ,ขอบคุณที่ติดตัวเองนะครับ
ผมนัท ณัฐสิทธิ์,รัฐ รัฐจิตร และ ข่าว
นะครับ เป็นนักลงทุนนะครับ,เป็นหลักวงทุนนะครับ
ส่วนท่านนี้เป็นคุณวิรัช,ถ้า นี้ เป็น คุณ บุรัส รอบ รอบ
รอบรับทําเป็น gfo ครับ,รับรองความเป็นจีโรครับ
สวัสดีครับ,สวัสดีครับ
ครับ ขอบคุณทางตลาดนะครับ,ขอบคุณทั้งตลาดเลยครับ
ที่ให้โอกาสทางบริษัท,ให้ ลง จาก ทาง บริษัท
กลุ่มบริษัท ทริพเพิลไอ,มันบังเอิญออกจากใบรถ
โลจิสติกส์ จํากัด มหาชน,ที่คิดลงกลับมา
นะครับ ได้มา,ขับได้มาก
แจ้งเรื่องผลประกอบการของกลุ่มธุรกิจนะครับในรอบเก้าเดือนแล้วก็ไตรมาสที่สามประจําปี2566 นะครับนะครับก่อนอื่นก็เริ่มอาร์เจนด้านะครับจะให้ทางคุณณัฐสิทธิ์ซึ่งเป็นฝ่ายนักลงทุนสัมพันธ์ของเรานะครับได้มาแจ้งเรื่องข้อมูลว่ากลุ่มธุรกิจของทริพเพิลไอ,เรื่องผลประกอบการของกลุ่มธุรกิจนะครับในโลก เก้า เดือน แล้วก็ ตรา ยมาธิ สาม ประจำปี สมัย พฤหัส สิบ หก นะครับ นะครับ คนอื่น ก็ เริ่ม ใน เจนด้า นะครับ จะ ให้ ทาง คุณ นัท สิทธิ์ ซึ่ง เป็น ฝ่าย ด้าน บุคคล สม พันธ์ ของเรา นะครับ ได้ มา แจ้ง เรื่อง ข้อมูล ว่า กลุ่มธุรกิจ ของ ที่ ไป โลก ที่
โลจิสติกส์จํากัดมหาชนได้ทําเกี่ยวกับอะไรบ้าง,สิทธิจำกัดมหาชนได้ทำเกี่ยวอะไรบ้างลง
รวมทั้งมีไทม์ไลน์เกี่ยวกับเรื่อง,ต้องมีทำบายเกี่ยวกับเรื่องเวลา
ตั้งแต่เข้าตลาดนะครับ,แต่เข้าตลาดนะครับเพื่อน
เพื่อเป็นข้อมูลสําหรับนักลงทุนที่สนใจนะครับ,เป็นข้อมูลสำหรับนักลงทุนที่สนใจนะครับ
ก็ให้ทางคุณทักษิณ,พอให้การคุณได้ทุกสิ่งก็ช่วย
ส่วนของผมเองจะไป,สอง ผมเองจะเป็น
เริ่มในส่วน,เป็น ส่วน พัฒนา
part ที่ 2,สอง ไป เรื่อย
เป็นเรื่องของผลประกอบการ,ของผลประกอบการ
รวมทั้งต่อเนื่องไปถึง,บางครั้งก็ดึงไปถึง
industry outlook,ด้าน อาวุธ วัด ตรงนี้
แล้วก็รวมทั้งเป็นอัพเดทการลงทุนของกลุ่มบริษัทที่มีในปัจจุบัน,รวมทั้งเป็นอัปเดตการลงทุนของหุบประสาทที่มีในปัจจุบัน
ก็จะให้ทางคุณณัฐสิทธิ์เริ่มได้เลยครับ,ก็จะให้ทางคุณนัทสิทธิ์เริ่มได้เลยครับ
ขอบคุณครับ,โอเค
อันนี้เราอยากพามาดู,ที่เราจะเอามาดูดู
business timeline,มีชื่อ คำราย นะครับ
นะครับ ว่าที่ผ่านมาเนี่ย,ว่าที่ผ่านมาเนี่ย
บริษัทของเราได้ลงทุนอะไรไปบ้าง,บริษัทของเราเป็นอายุทุกข์อะไรไปบ้าง
แล้วก็ซื้อดีลอะไรบ้าง,ก็ซื้อดีลอะไรกันบ้างแล้วก็
แล้วก็ขยายธุรกิจอะไรไปบ้างหลังจากที่เราเข้าตลาดเนี่ย,ที่ใหญ่ที่สุดอะไรไปบ้างหลังจากที่เราเข้าตลาดงาน
เราได้เริ่มเข้าตลาดในปี2017นะครับ,เราได้เริ่มทอดตลาดในปี 2017 นะครับ
แล้วก็ในปี2018เนี่ย,แล้วก็ในปี 2018 เนี่ย
เราได้เข้าซื้อบริษัทดีจีพีสิงคโปร์นะครับที่ลงทุนเกี่ยวกับธุรกิจบรรจุภัณฑ์สําหรับสินค้าอันตรายและเคมีภัณฑ์,เราได้เข้าซื้อบริษัทดีจีพีสิงคโปร์นะครับที่ลงทุนเกี่ยวกับธุรกิจบรรจุภัณฑ์สำหรับสินค้าอัตราและเคมีภัณฑ์
ซึ่งมีการขยายขอบเขตการให้บริการซึ่งแต่เดิมเนี่ยเราได้ให้บริการเพียงแค่ในภายในประเทศนะครับ,ซึ่งมีการขยาย ตอบแข็งการให้บริการซึ่งแต่เดิม เนี่ย เราให้ เราได้ให้บริการเพียงแค่ในภายในประเทศนะครับ
ต่อมาในปี 2019,ก็ มี สวน สิบ เก้า
เราได้ขยายธุรกิจ,เราได้ขยายธุรกิจ
ในการเข้าซื้อตัว,การ ข้อ ชื่อ ตัว เอ ล
altga authka ผ่านทาง sal,เอล ที จี เอ หรือว่าออสการ์ ผ่านทางเอส แอ แอล
ซึ่งเป็นการขยายธุรกิจตัวของ,ชื่อ เป็น การ ขยาย วิกฤต ตัว ของ การ สร้าง สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ สรรค์ ส
gapandering นะครับ,อันดับหนึ่งนะครับ
ซึ่งแต่เดิมเนี่ย,ชื่อแต่เดิมเนี่ย เราให้
เราให้บริการเพียงแค่ตัวของ cargo,เชื่อมต่อ แค่ ตัว ของ คาร์โก้
แต่หลังจากนั้น,ถ้า ไม่ มี อ่ะ ลอง
หลังจากที่เราเข้าซื้อ,ที่เราเข้าสู่งานเรา
เราได้ไปเข้าเพิ่มในส่วนของบริการ,ก็ได้ไปเข้าเครื่องในจุดของบริการส่วนของ
ส่วนของ passenger ด้วย,พัฒนาเชิญเจอด้วย
ถัดมาในปี 19 ต่อมา,สัตว์มาได้พิษหนึ่งเจ้าต่อ
เราได้เข้าซื้อตัว allow logistics,เขาได้เข้าชื่อตัว a la logistic
management ที่ประเทศฮ่องกง,ที่ประเทศฮ่องกง
ซึ่งเป็นการขยายธุรกิจการให้บริการส่วนของ,ซึ่งเป็นการขยายธุรกิจการให้บริการส่วนของ
gsa,เออ
ไปในระดับภูมิภาคเพิ่มมากขึ้นนะครับ,ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป ไป
ในปี 2020 เนี่ยครับ,ในปี 2020 เนี่ยครับ
